iter	Passed	Remaining
430	1826	2411
431	1830	2406
432	1832	2399
433	1834	2393
434	1837	2386
435	1839	2379
436	1844	2375
437	1847	2370
438	1850	2364
439	1852	2357
440	1854	2350
441	1859	2347
442	1862	2341
443	1864	2334
444	1866	2328
445	1868	2321
446	1873	2317
447	1875	2310
448	1877	2304
449	1880	2297
450	1882	2291
451	1884	2284
452	1889	2281
453	1891	2275
454	1894	2268
455	1896	2262
456	1899	2256
457	1902	2251
458	1904	2244
459	1907	2238
460	1909	2232
461	1911	2226
462	1916	2222
463	1918	2216
464	1921	2210
465	1923	2204
466	1926	2198
467	1932	2196
468	1935	2191
469	1938	2185
470	1940	2179
471	1945	2176
472	1948	2170
473	1950	2164
474	1953	2158
475	1955	2153
476	1959	2148
477	1963	2143
478	1966	2139
479	1969	2133
480	1971	2127
481	1977	2125
482	1980	2119
483	1982	2113
484	1985	2108
485	1989	2104
486	1992	2098
487	1995	2093
488	1997	2087
489	2000	2081
490	2002	2076
491	2006	2072
492	2009	2066
493	2011	2060
494	2014	2054
495	2016	2049
496	2022	2046
497	2025	2041
498	2028	2036
499	2032	2032
500	2038	2029
501	2040	2024
502	2042	2018
503	2045	2012
504	2047	2007
505	2051	2002
506	2053	1996
507	2055	1990
508	2057	1985
509	2060	1979
510	2064	1975
511	2066	1969
512	2069	1964
513	2071	1958
514	2073	1952
515	2077	1948
516	2079	1943
517	2082	1937
518	2084	1931
519	2086	1926
520	2089	1920
521	2093	1917
522	2096	1911
523	2098	1905
524	2100	1900
525	2102	1895
526	2106	1890
527	2110	1886
528	2112	1881
529	2115	1875
530	2117	1870
531	2120	1864
532	2123	1860
533	2126	1855
534	2128	1849
535	2130	1844
536	2133	1839
537	2137	1835
538	2139	1829
539	2141	1824
540	2143	1818
541	2146	1813
542	2148	1808
543	2151	1803
544	2154	1798
545	2156	1792
546	2158	1787
547	2160	1782
548	2165	1778
549	2167	1773
550	2170	1768
551	2172	1763
552	2174	1757
553	2176	1752
554	2180	1748
555	2182	1742
556	2184	1737
557	2186	1732
558	2189	1727
559	2193	1723
560	2196	1718
561	2199	1713
562	2201	1708
563	2203	1703
564	2208	1700
565	2210	1695
566	2213	1690
567	2215	1685
568	2218	1680
569	2220	1675
570	2224	1671
571	2227	1666
572	2229	1661
573	2232	1656
574	2238	1654
575	2241	1649
576	2244	1645
577	2247	1641
578	2250	1636
579	2255	1633
580	2259	1629
581	2262	1624
582	2264	1619
583	2269	1616
584	2272	1611
585	2274	1607
586	2277	1602
587	2279	1597
588	2285	1594
589	2287	1589
590	2289	1584
591	2292	1579
592	2294	1575
593	2300	1572
594	2302	1567
595	2305	1562
596	2307	1557
597	2310	1553
598	2314	1549
599	2317	1544
600	2319	1540
601	2322	1535
602	2324	1530
603	2329	1527
604	2332	1522
605	2334	1518
606	2337	1513
607	2340	1508
608	2344	1505
609	2346	1500
610	2348	1495
611	2351	1490
612	2353	1485
613	2357	1482
614	2360	1477
615	2362	1472
616	2364	1467
617	2366	1462
618	2368	1458
619	2374	1455
620	2376	1450
621	2379	1445
622	2381	1441
623	2383	1436
624	2388	1433
625	2390	1428
626	2393	1423
627	2396	1419
628	2399	1415
629	2404	1412
630	2408	1408
631	2411	1404
632	2413	1399
633	2418	1396
634	2421	1391
635	2423	1386
636	2425	1382
637	2427	1377
638	2432	1374
639	2434	1369
640	2436	1364
641	2438	1360
642	2441	1355
643	2443	1350
644	2447	1347
645	2449	1342
646	2452	1337
647	2454	1333
648	2456	1328
649	2459	1324
650	2462	1320
651	2464	1315
652	2466	1310
653	2469	1306
654	2471	1301
655	2475	1298
656	2477	1293
657	2480	1289
658	2482	1284
659	2484	1279
660	2489	1276
661	2492	1272
662	2494	1268
663	2497	1263
664	2500	1259
665	2504	1256
666	2507	1251
667	2510	1247
668	2512	1243
669	2515	1239
670	2520	1235
671	2523	1231
672	2525	1227
673	2528	1223
674	2531	1218
675	2535	1215
676	2538	1211
677	2540	1206
678	2543	1202
679	2545	1197
680	2550	1194
681	2554	1191
682	2557	1186
683	2559	1182
684	2564	1179
685	2567	1175
686	2570	1170
687	2572	1166
688	2575	1162
689	2579	1159
690	2582	1154
691	2585	1150
692	2587	1146
693	2589	1141
694	2594	1138
695	2597	1134
696	2599	1130
697	2602	1125
698	2604	1121
699	2610	1118
700	2612	1114
701	2614	1110
702	2617	1105
703	2619	1101
704	2624	1098
705	2627	1093
706	2629	1089
707	2631	1085
708	2634	1081
709	2639	1078
710	2642	1074
711	2644	1069
712	2647	1065
713	2649	1061
714	2654	1057
715	2656	1053
716	2658	1049
717	2660	1045
718	2663	1040
719	2665	1036
720	2669	1033
721	2671	1028
722	2674	1024
723	2676	1020
724	2678	1016
725	2682	1012
726	2685	1008
727	2687	1004
728	2690	1000
729	2692	995
730	2694	991
731	2698	988
732	2702	984
733	2704	980
734	2707	976
735	2709	971
736	2713	968
737	2716	964
738	2718	960
739	2721	956
740	2723	951
741	2727	948
742	2730	944
743	2732	940
744	2735	936
745	2737	932
746	2741	928
747	2744	924
748	2746	920
749	2748	916
750	2751	912
751	2753	908
752	2757	904
753	2761	900
754	2764	897
755	2767	893
756	2775	890
757	2777	886
758	2781	883
759	2787	880
760	2790	876
761	2792	872
762	2794	868
763	2797	864
764	2801	860
765	2804	856
766	2806	852
767	2809	848
768	2811	844
769	2814	840
770	2817	836
771	2820	832
772	2822	828
773	2825	825
774	2828	821
775	2832	817
776	2834	813
777	2837	809
778	2839	805
779	2842	801
780	2846	798
781	2850	794
782	2853	790
783	2855	786
784	2860	783
785	2864	779
786	2866	775
787	2869	771
788	2871	767
789	2876	764
790	2878	760
791	2881	756
792	2883	752
793	2886	748
794	2891	745
795	2893	741
796	2896	737
797	2898	733
798	2901	729
799	2908	727
800	2911	723
801	2913	719
802	2915	715
803	2921	712
804	2923	708
805	2926	704
806	2928	700
807	2931	696
808	2936	693
809	2938	689
810	2941	685
811	2943	681
812	2946	677
813	2950	674
814	2953	670
815	2955	666
816	2957	662
817	2959	658
818	2962	654
819	2966	651
820	2968	647
821	2970	643
822	2973	639
823	2975	635
824	2980	632
825	2982	628
826	2984	624
827	2986	620
828	2989	616
829	2991	612
830	2995	609
831	2998	605
832	3001	601
833	3003	597
834	3005	593
835	3009	590
836	3012	586
837	3014	582
838	3016	578
839	3019	575
840	3023	571
841	3025	567
842	3028	563
843	3030	560
844	3032	556
845	3035	552
846	3038	548
847	3041	545
848	3043	541
849	3045	537
850	3048	533
851	3052	530
852	3055	526
853	3057	522
854	3059	518
855	3061	515
856	3066	511
857	3068	507
858	3070	504
859	3072	500
860	3075	496
861	3077	492
862	3081	489
863	3083	485
